Municipality,Single Detached,Cottage,Semi Detached,Row,Apartment,Extract Date
MUNICIPALITY OF THE DISTRICT OF GUYSBOROUGH,0,0,0,0,0,05/01/2019 08:33:08 AM
MUNICIPALITY OF THE DISTRICT OF LUNENBURG,0,0,0,0,0,05/01/2019 08:33:08 AM
MUNICIPALITY OF THE DISTRICT OF SHELBURNE,0,0,0,0,0,05/01/2019 08:33:08 AM
MUNICIPALITY OF THE DISTRICT OF ST. MARY'S,0,0,0,0,0,05/01/2019 08:33:08 AM
MUNICIPALITY OF THE DISTRICT OF WEST HANTS,0,0,0,0,0,05/01/2019 08:33:08 AM
REGION OF QUEENS MUNICIPALITY,0,0,0,0,0,05/01/2019 08:33:08 AM
TOWN OF AMHERST,0,0,0,0,0,05/01/2019 08:33:08 AM
TOWN OF ANNAPOLIS ROYAL,0,0,0,0,0,05/01/2019 08:33:08 AM
TOWN OF ANTIGONISH,0,0,0,0,0,05/01/2019 08:33:08 AM
TOWN OF BRIDGEWATER,0,0,0,0,0,05/01/2019 08:33:08 AM
TOWN OF CLARK'S HARBOUR,0,0,0,0,0,05/01/2019 08:33:08 AM
TOWN OF DIGBY,0,0,0,0,0,05/01/2019 08:33:08 AM
TOWN OF LOCKEPORT,0,0,0,0,0,05/01/2019 08:33:08 AM
TOWN OF LUNENBURG,0,0,0,0,0,05/01/2019 08:33:08 AM
TOWN OF MAHONE BAY,0,0,0,0,0,05/01/2019 08:33:08 AM
TOWN OF MIDDLETON,0,0,0,0,0,05/01/2019 08:33:08 AM
TOWN OF MULGRAVE,0,0,0,0,0,05/01/2019 08:33:08 AM
TOWN OF NEW GLASGOW,0,0,0,0,0,05/01/2019 08:33:08 AM
TOWN OF PICTOU,0,0,0,0,0,05/01/2019 08:33:08 AM
TOWN OF PORT HAWKESBURY,0,0,0,0,0,05/01/2019 08:33:08 AM
TOWN OF SHELBURNE,0,0,0,0,0,05/01/2019 08:33:08 AM
TOWN OF STELLARTON,0,0,0,0,0,05/01/2019 08:33:08 AM
TOWN OF STEWIACKE,0,0,0,0,0,05/01/2019 08:33:08 AM
TOWN OF TRENTON,0,0,0,0,0,05/01/2019 08:33:08 AM
TOWN OF TRURO,0,0,0,0,0,05/01/2019 08:33:08 AM
TOWN OF WESTVILLE,0,0,0,0,0,05/01/2019 08:33:08 AM
TOWN OF WINDSOR,0,0,0,0,0,05/01/2019 08:33:08 AM
TOWN OF WOLFVILLE,0,0,0,0,0,05/01/2019 08:33:08 AM
TOWN OF YARMOUTH,0,0,0,0,0,05/01/2019 08:33:08 AM
CAPE BRETON REGIONAL MUNICIPALITY,0,0,0,0,0,04/01/2019 07:30:48 AM
MUNICIPALITY OF THE COUNTY OF ANNAPOLIS,1,0,0,0,0,04/01/2019 07:30:48 AM
MUNICIPALITY OF THE COUNTY OF ANTIGONISH,0,0,0,0,0,04/01/2019 07:30:48 AM
MUNICIPALITY OF THE COUNTY OF COLCHESTER,0,0,0,0,0,04/01/2019 07:30:48 AM
MUNICIPALITY OF THE COUNTY OF INVERNESS,0,0,0,0,0,04/01/2019 07:30:48 AM
MUNICIPALITY OF THE COUNTY OF PICTOU,0,0,0,0,0,04/01/2019 07:30:48 AM
MUNICIPALITY OF THE COUNTY OF RICHMOND,0,0,0,0,0,04/01/2019 07:30:48 AM
MUNICIPALITY OF THE COUNTY OF VICTORIA,0,0,0,0,0,04/01/2019 07:30:48 AM
MUNICIPALITY OF THE DISTRICT OF ARGYLE,0,0,0,0,0,04/01/2019 07:30:48 AM
MUNICIPALITY OF THE DISTRICT OF BARRINGTON,0,0,0,0,0,04/01/2019 07:30:48 AM
MUNICIPALITY OF THE DISTRICT OF CHESTER,0,0,0,0,0,04/01/2019 07:30:48 AM
MUNICIPALITY OF THE DISTRICT OF CLARE,0,0,0,0,0,04/01/2019 07:30:48 AM
MUNICIPALITY OF THE DISTRICT OF DIGBY,0,0,0,0,0,04/01/2019 07:30:48 AM
MUNICIPALITY OF THE DISTRICT OF EAST HANTS,0,0,0,0,0,04/01/2019 07:30:48 AM
MUNICIPALITY OF THE DISTRICT OF GUYSBOROUGH,0,0,0,0,0,04/01/2019 07:30:48 AM
MUNICIPALITY OF THE DISTRICT OF LUNENBURG,0,0,0,0,0,04/01/2019 07:30:48 AM
MUNICIPALITY OF THE DISTRICT OF SHELBURNE,0,0,0,0,0,04/01/2019 07:30:48 AM
MUNICIPALITY OF THE DISTRICT OF ST. MARY'S,0,0,0,0,0,04/01/2019 07:30:48 AM
MUNICIPALITY OF THE DISTRICT OF WEST HANTS,0,0,0,0,0,04/01/2019 07:30:48 AM
REGION OF QUEENS MUNICIPALITY,0,0,0,0,0,04/01/2019 07:30:48 AM
TOWN OF AMHERST,0,0,0,0,0,04/01/2019 07:30:48 AM
TOWN OF ANNAPOLIS ROYAL,0,0,0,0,0,04/01/2019 07:30:48 AM
TOWN OF ANTIGONISH,0,0,0,0,0,04/01/2019 07:30:48 AM
TOWN OF BRIDGEWATER,0,0,0,0,0,04/01/2019 07:30:48 AM
TOWN OF CLARK'S HARBOUR,0,0,0,0,0,04/01/2019 07:30:48 AM
TOWN OF DIGBY,0,0,0,0,0,04/01/2019 07:30:48 AM
TOWN OF LOCKEPORT,0,0,0,0,0,04/01/2019 07:30:48 AM
TOWN OF LUNENBURG,0,0,0,0,0,04/01/2019 07:30:48 AM
TOWN OF MAHONE BAY,0,0,0,0,0,04/01/2019 07:30:48 AM
TOWN OF MIDDLETON,0,0,0,0,0,04/01/2019 07:30:48 AM
TOWN OF MULGRAVE,0,0,0,0,0,04/01/2019 07:30:48 AM
TOWN OF NEW GLASGOW,0,0,0,0,0,04/01/2019 07:30:48 AM
TOWN OF PICTOU,0,0,0,0,0,04/01/2019 07:30:48 AM
TOWN OF PORT HAWKESBURY,0,0,0,0,0,04/01/2019 07:30:48 AM
TOWN OF SHELBURNE,0,0,0,0,0,04/01/2019 07:30:48 AM
TOWN OF STELLARTON,0,0,0,0,0,04/01/2019 07:30:48 AM
TOWN OF STEWIACKE,0,0,0,0,0,04/01/2019 07:30:48 AM
TOWN OF TRENTON,0,0,0,0,0,04/01/2019 07:30:48 AM
TOWN OF TRURO,0,0,0,0,0,04/01/2019 07:30:48 AM
TOWN OF WESTVILLE,0,0,0,0,0,04/01/2019 07:30:48 AM
TOWN OF WINDSOR,0,0,0,0,0,04/01/2019 07:30:48 AM
TOWN OF WOLFVILLE,1,0,0,0,0,04/01/2019 07:30:48 AM
TOWN OF YARMOUTH,0,0,0,0,0,04/01/2019 07:30:48 AM
CAPE BRETON REGIONAL MUNICIPALITY,0,0,0,0,0,03/01/2019 07:30:32 AM
MUNICIPALITY OF THE COUNTY OF ANNAPOLIS,0,0,0,0,0,03/01/2019 07:30:32 AM
MUNICIPALITY OF THE COUNTY OF ANTIGONISH,0,0,0,0,0,03/01/2019 07:30:32 AM
MUNICIPALITY OF THE COUNTY OF COLCHESTER,0,0,0,0,0,03/01/2019 07:30:32 AM
MUNICIPALITY OF THE COUNTY OF INVERNESS,0,0,0,0,0,03/01/2019 07:30:32 AM
MUNICIPALITY OF THE COUNTY OF PICTOU,0,0,0,0,0,03/01/2019 07:30:32 AM
MUNICIPALITY OF THE COUNTY OF RICHMOND,0,0,0,0,0,03/01/2019 07:30:32 AM
MUNICIPALITY OF THE COUNTY OF VICTORIA,0,0,0,0,0,03/01/2019 07:30:32 AM
MUNICIPALITY OF THE DISTRICT OF ARGYLE,0,0,0,0,0,03/01/2019 07:30:32 AM
MUNICIPALITY OF THE DISTRICT OF BARRINGTON,0,0,0,0,0,03/01/2019 07:30:32 AM
MUNICIPALITY OF THE DISTRICT OF CHESTER,0,0,0,0,0,03/01/2019 07:30:32 AM
MUNICIPALITY OF THE DISTRICT OF CLARE,0,0,0,0,0,03/01/2019 07:30:32 AM
MUNICIPALITY OF THE DISTRICT OF DIGBY,0,0,0,0,0,03/01/2019 07:30:32 AM
MUNICIPALITY OF THE DISTRICT OF EAST HANTS,0,0,0,0,0,03/01/2019 07:30:32 AM
MUNICIPALITY OF THE DISTRICT OF GUYSBOROUGH,0,0,0,0,0,03/01/2019 07:30:32 AM
MUNICIPALITY OF THE DISTRICT OF LUNENBURG,0,0,0,0,0,03/01/2019 07:30:32 AM
MUNICIPALITY OF THE DISTRICT OF SHELBURNE,0,0,0,0,0,03/01/2019 07:30:32 AM
MUNICIPALITY OF THE DISTRICT OF ST. MARY'S,0,0,0,0,0,03/01/2019 07:30:32 AM
MUNICIPALITY OF THE DISTRICT OF WEST HANTS,0,0,0,0,0,03/01/2019 07:30:32 AM
REGION OF QUEENS MUNICIPALITY,0,0,0,0,0,03/01/2019 07:30:32 AM
TOWN OF AMHERST,0,0,0,0,0,03/01/2019 07:30:32 AM
TOWN OF ANNAPOLIS ROYAL,0,0,0,0,0,03/01/2019 07:30:32 AM
TOWN OF ANTIGONISH,0,0,0,0,0,03/01/2019 07:30:32 AM
TOWN OF BRIDGEWATER,0,0,0,0,0,03/01/2019 07:30:32 AM
TOWN OF CLARK'S HARBOUR,0,0,0,0,0,03/01/2019 07:30:32 AM
TOWN OF DIGBY,0,0,0,0,0,03/01/2019 07:30:32 AM
TOWN OF LOCKEPORT,0,0,0,0,0,03/01/2019 07:30:32 AM
TOWN OF LUNENBURG,0,0,0,0,0,03/01/2019 07:30:32 AM
TOWN OF MAHONE BAY,0,0,0,0,0,03/01/2019 07:30:32 AM
TOWN OF MIDDLETON,0,0,0,0,0,03/01/2019 07:30:32 AM
TOWN OF MULGRAVE,0,0,0,0,0,03/01/2019 07:30:32 AM
TOWN OF NEW GLASGOW,0,0,0,0,0,03/01/2019 07:30:32 AM
TOWN OF PICTOU,0,0,0,0,0,03/01/2019 07:30:32 AM
TOWN OF PORT HAWKESBURY,0,0,0,0,0,03/01/2019 07:30:32 AM
TOWN OF SHELBURNE,0,0,0,0,0,03/01/2019 07:30:32 AM
TOWN OF STELLARTON,0,0,0,0,0,03/01/2019 07:30:32 AM
TOWN OF STEWIACKE,0,0,0,0,0,03/01/2019 07:30:32 AM
TOWN OF TRENTON,0,0,0,0,0,03/01/2019 07:30:32 AM
TOWN OF TRURO,0,0,0,0,0,03/01/2019 07:30:32 AM
TOWN OF WESTVILLE,0,0,0,0,0,03/01/2019 07:30:32 AM
TOWN OF WINDSOR,0,0,0,0,0,03/01/2019 07:30:32 AM
TOWN OF WOLFVILLE,0,0,0,0,0,03/01/2019 07:30:32 AM
TOWN OF YARMOUTH,0,0,0,0,0,03/01/2019 07:30:32 AM
CAPE BRETON REGIONAL MUNICIPALITY,0,0,0,0,0,02/01/2019 07:30:35 AM
MUNICIPALITY OF THE COUNTY OF ANNAPOLIS,0,0,0,0,0,02/01/2019 07:30:35 AM
MUNICIPALITY OF THE COUNTY OF ANTIGONISH,0,0,0,0,0,02/01/2019 07:30:35 AM
MUNICIPALITY OF THE COUNTY OF COLCHESTER,0,0,0,0,0,02/01/2019 07:30:35 AM
MUNICIPALITY OF THE COUNTY OF INVERNESS,0,0,0,0,0,02/01/2019 07:30:35 AM
MUNICIPALITY OF THE COUNTY OF PICTOU,0,0,0,0,0,02/01/2019 07:30:35 AM
MUNICIPALITY OF THE COUNTY OF RICHMOND,0,0,0,0,0,02/01/2019 07:30:35 AM
MUNICIPALITY OF THE COUNTY OF VICTORIA,0,0,0,0,0,02/01/2019 07:30:35 AM
MUNICIPALITY OF THE DISTRICT OF ARGYLE,0,0,0,0,0,02/01/2019 07:30:35 AM
MUNICIPALITY OF THE DISTRICT OF BARRINGTON,0,0,0,0,0,02/01/2019 07:30:35 AM
MUNICIPALITY OF THE DISTRICT OF CHESTER,0,0,0,0,0,02/01/2019 07:30:35 AM
MUNICIPALITY OF THE DISTRICT OF CLARE,0,0,0,0,0,02/01/2019 07:30:35 AM
MUNICIPALITY OF THE DISTRICT OF DIGBY,0,0,0,0,0,02/01/2019 07:30:35 AM
MUNICIPALITY OF THE DISTRICT OF EAST HANTS,0,0,0,0,0,02/01/2019 07:30:35 AM
MUNICIPALITY OF THE DISTRICT OF GUYSBOROUGH,0,0,0,0,0,02/01/2019 07:30:35 AM
MUNICIPALITY OF THE DISTRICT OF LUNENBURG,0,0,0,0,0,02/01/2019 07:30:35 AM
MUNICIPALITY OF THE DISTRICT OF SHELBURNE,1,0,0,0,0,02/01/2019 07:30:35 AM
MUNICIPALITY OF THE DISTRICT OF ST. MARY'S,0,0,0,0,0,02/01/2019 07:30:35 AM
MUNICIPALITY OF THE DISTRICT OF WEST HANTS,0,0,0,0,0,02/01/2019 07:30:35 AM
REGION OF QUEENS MUNICIPALITY,0,0,0,0,0,02/01/2019 07:30:35 AM
TOWN OF AMHERST,0,0,0,0,0,02/01/2019 07:30:35 AM
TOWN OF ANNAPOLIS ROYAL,0,0,0,0,0,02/01/2019 07:30:35 AM
TOWN OF ANTIGONISH,0,0,0,0,0,02/01/2019 07:30:35 AM
TOWN OF BRIDGEWATER,0,0,0,0,0,02/01/2019 07:30:35 AM
TOWN OF CLARK'S HARBOUR,0,0,0,0,0,02/01/2019 07:30:35 AM
TOWN OF DIGBY,0,0,0,0,0,02/01/2019 07:30:35 AM
TOWN OF LOCKEPORT,0,0,0,0,0,02/01/2019 07:30:35 AM
TOWN OF LUNENBURG,0,0,0,0,0,02/01/2019 07:30:35 AM
TOWN OF MAHONE BAY,0,0,0,0,0,02/01/2019 07:30:35 AM
TOWN OF MIDDLETON,0,0,0,0,0,02/01/2019 07:30:35 AM
TOWN OF MULGRAVE,0,0,0,0,0,02/01/2019 07:30:35 AM
TOWN OF NEW GLASGOW,0,0,0,0,0,02/01/2019 07:30:35 AM
TOWN OF PICTOU,0,0,0,0,0,02/01/2019 07:30:35 AM
TOWN OF PORT HAWKESBURY,0,0,0,0,0,02/01/2019 07:30:35 AM
TOWN OF SHELBURNE,0,0,0,0,0,02/01/2019 07:30:35 AM
TOWN OF STELLARTON,0,0,0,0,0,02/01/2019 07:30:35 AM
TOWN OF STEWIACKE,0,0,0,0,0,02/01/2019 07:30:35 AM
TOWN OF TRENTON,0,0,0,0,0,02/01/2019 07:30:35 AM
TOWN OF TRURO,0,0,0,0,0,02/01/2019 07:30:35 AM
TOWN OF WESTVILLE,0,0,0,0,0,02/01/2019 07:30:35 AM
TOWN OF WINDSOR,0,0,0,0,0,02/01/2019 07:30:35 AM
TOWN OF WOLFVILLE,0,0,0,0,0,02/01/2019 07:30:35 AM
TOWN OF YARMOUTH,0,0,0,0,0,02/01/2019 07:30:35 AM
CAPE BRETON REGIONAL MUNICIPALITY,0,0,0,0,0,01/01/2019 07:30:47 AM
MUNICIPALITY OF THE COUNTY OF ANNAPOLIS,1,0,0,0,0,01/01/2019 07:30:47 AM
MUNICIPALITY OF THE COUNTY OF ANTIGONISH,0,0,0,0,0,01/01/2019 07:30:47 AM
MUNICIPALITY OF THE COUNTY OF COLCHESTER,0,0,0,0,0,01/01/2019 07:30:47 AM
MUNICIPALITY OF THE COUNTY OF INVERNESS,0,0,0,0,0,01/01/2019 07:30:47 AM
MUNICIPALITY OF THE COUNTY OF PICTOU,0,0,0,0,0,01/01/2019 07:30:47 AM
MUNICIPALITY OF THE COUNTY OF RICHMOND,0,0,0,0,0,01/01/2019 07:30:47 AM
MUNICIPALITY OF THE COUNTY OF VICTORIA,0,0,0,0,0,01/01/2019 07:30:47 AM
MUNICIPALITY OF THE DISTRICT OF ARGYLE,0,0,0,0,0,01/01/2019 07:30:47 AM
MUNICIPALITY OF THE DISTRICT OF BARRINGTON,0,0,0,0,0,01/01/2019 07:30:47 AM
MUNICIPALITY OF THE DISTRICT OF CHESTER,0,0,0,0,0,01/01/2019 07:30:47 AM
MUNICIPALITY OF THE DISTRICT OF CLARE,0,0,0,0,0,01/01/2019 07:30:47 AM
MUNICIPALITY OF THE DISTRICT OF DIGBY,0,0,0,0,0,01/01/2019 07:30:47 AM
MUNICIPALITY OF THE DISTRICT OF EAST HANTS,0,0,0,0,0,01/01/2019 07:30:47 AM
MUNICIPALITY OF THE DISTRICT OF GUYSBOROUGH,0,0,0,0,0,01/01/2019 07:30:47 AM
MUNICIPALITY OF THE DISTRICT OF LUNENBURG,0,0,0,0,0,01/01/2019 07:30:47 AM
MUNICIPALITY OF THE DISTRICT OF SHELBURNE,1,0,0,0,0,01/01/2019 07:30:47 AM
MUNICIPALITY OF THE DISTRICT OF ST. MARY'S,0,0,0,0,0,01/01/2019 07:30:47 AM
MUNICIPALITY OF THE DISTRICT OF WEST HANTS,0,0,0,0,0,01/01/2019 07:30:47 AM
REGION OF QUEENS MUNICIPALITY,0,0,0,0,0,01/01/2019 07:30:47 AM
TOWN OF AMHERST,0,0,0,0,0,01/01/2019 07:30:47 AM
TOWN OF ANNAPOLIS ROYAL,0,0,0,0,0,01/01/2019 07:30:47 AM
TOWN OF ANTIGONISH,0,0,0,0,0,01/01/2019 07:30:47 AM
TOWN OF BRIDGEWATER,0,0,0,0,0,01/01/2019 07:30:47 AM
TOWN OF CLARK'S HARBOUR,0,0,0,0,0,01/01/2019 07:30:47 AM
TOWN OF DIGBY,0,0,0,0,0,01/01/2019 07:30:47 AM
TOWN OF LOCKEPORT,0,0,0,0,0,01/01/2019 07:30:47 AM
TOWN OF LUNENBURG,0,0,0,0,0,01/01/2019 07:30:47 AM
TOWN OF MAHONE BAY,0,0,0,0,0,01/01/2019 07:30:47 AM
TOWN OF MIDDLETON,0,0,0,0,0,01/01/2019 07:30:47 AM
TOWN OF MULGRAVE,0,0,0,0,0,01/01/2019 07:30:47 AM
TOWN OF NEW GLASGOW,0,0,0,0,0,01/01/2019 07:30:47 AM
TOWN OF PICTOU,0,0,0,0,0,01/01/2019 07:30:47 AM
TOWN OF PORT HAWKESBURY,0,0,0,0,0,01/01/2019 07:30:47 AM
TOWN OF SHELBURNE,0,0,0,0,0,01/01/2019 07:30:47 AM
TOWN OF STELLARTON,0,0,0,0,0,01/01/2019 07:30:47 AM
TOWN OF STEWIACKE,0,0,0,0,0,01/01/2019 07:30:47 AM
TOWN OF TRENTON,0,0,0,0,0,01/01/2019 07:30:47 AM
TOWN OF TRURO,0,0,0,0,0,01/01/2019 07:30:47 AM
TOWN OF WESTVILLE,0,0,0,0,0,01/01/2019 07:30:47 AM
TOWN OF WINDSOR,0,0,0,0,0,01/01/2019 07:30:47 AM
TOWN OF WOLFVILLE,0,0,0,0,0,01/01/2019 07:30:47 AM
TOWN OF YARMOUTH,0,0,0,0,0,01/01/2019 07:30:47 AM
CAPE BRETON REGIONAL MUNICIPALITY,0,0,0,0,0,12/01/2018 07:30:55 AM
MUNICIPALITY OF THE COUNTY OF ANNAPOLIS,1,0,0,0,0,12/01/2018 07:30:55 AM
MUNICIPALITY OF THE COUNTY OF ANTIGONISH,0,0,0,0,0,12/01/2018 07:30:55 AM
MUNICIPALITY OF THE COUNTY OF COLCHESTER,0,0,0,0,0,12/01/2018 07:30:55 AM
MUNICIPALITY OF THE COUNTY OF INVERNESS,0,0,0,0,0,12/01/2018 07:30:55 AM
MUNICIPALITY OF THE COUNTY OF PICTOU,0,0,0,0,0,12/01/2018 07:30:55 AM
MUNICIPALITY OF THE COUNTY OF RICHMOND,0,0,0,0,0,12/01/2018 07:30:55 AM
MUNICIPALITY OF THE COUNTY OF VICTORIA,0,0,0,0,0,12/01/2018 07:30:55 AM
MUNICIPALITY OF THE DISTRICT OF ARGYLE,0,0,0,0,0,12/01/2018 07:30:55 AM
MUNICIPALITY OF THE DISTRICT OF BARRINGTON,0,0,0,0,0,12/01/2018 07:30:55 AM
MUNICIPALITY OF THE DISTRICT OF CHESTER,0,0,0,0,0,12/01/2018 07:30:55 AM
MUNICIPALITY OF THE DISTRICT OF CLARE,0,0,0,0,0,12/01/2018 07:30:55 AM
MUNICIPALITY OF THE DISTRICT OF DIGBY,0,0,0,0,0,12/01/2018 07:30:55 AM
MUNICIPALITY OF THE DISTRICT OF EAST HANTS,0,0,0,0,0,12/01/2018 07:30:55 AM
MUNICIPALITY OF THE DISTRICT OF GUYSBOROUGH,0,0,0,0,0,12/01/2018 07:30:55 AM
MUNICIPALITY OF THE DISTRICT OF LUNENBURG,0,0,0,0,0,12/01/2018 07:30:55 AM
MUNICIPALITY OF THE DISTRICT OF SHELBURNE,0,0,0,0,0,12/01/2018 07:30:55 AM
MUNICIPALITY OF THE DISTRICT OF ST. MARY'S,0,0,0,0,0,12/01/2018 07:30:55 AM
MUNICIPALITY OF THE DISTRICT OF WEST HANTS,0,0,0,0,0,12/01/2018 07:30:55 AM
REGION OF QUEENS MUNICIPALITY,0,0,0,0,0,12/01/2018 07:30:55 AM
TOWN OF AMHERST,0,0,0,0,0,12/01/2018 07:30:55 AM
TOWN OF ANNAPOLIS ROYAL,0,0,0,0,0,12/01/2018 07:30:55 AM
TOWN OF ANTIGONISH,0,0,0,0,0,12/01/2018 07:30:55 AM
TOWN OF BRIDGEWATER,0,0,0,0,0,12/01/2018 07:30:55 AM
TOWN OF CLARK'S HARBOUR,0,0,0,0,0,12/01/2018 07:30:55 AM
TOWN OF DIGBY,0,0,0,0,0,12/01/2018 07:30:55 AM
TOWN OF LOCKEPORT,0,0,0,0,0,12/01/2018 07:30:55 AM
TOWN OF LUNENBURG,0,0,0,0,0,12/01/2018 07:30:55 AM
TOWN OF MAHONE BAY,0,0,0,0,0,12/01/2018 07:30:55 AM
TOWN OF MIDDLETON,0,0,0,0,0,12/01/2018 07:30:55 AM
TOWN OF MULGRAVE,0,0,0,0,0,12/01/2018 07:30:55 AM
TOWN OF NEW GLASGOW,0,0,0,0,0,12/01/2018 07:30:55 AM
TOWN OF PICTOU,0,0,0,0,0,12/01/2018 07:30:55 AM
TOWN OF PORT HAWKESBURY,0,0,0,0,0,12/01/2018 07:30:55 AM
TOWN OF SHELBURNE,0,0,0,0,0,12/01/2018 07:30:55 AM
TOWN OF STELLARTON,0,0,0,0,0,12/01/2018 07:30:55 AM
TOWN OF STEWIACKE,0,0,0,0,0,12/01/2018 07:30:55 AM
TOWN OF TRENTON,0,0,0,0,0,12/01/2018 07:30:55 AM
TOWN OF TRURO,0,0,0,0,0,12/01/2018 07:30:55 AM
TOWN OF WESTVILLE,0,0,0,0,0,12/01/2018 07:30:55 AM
